7021-85628-0026  NO MY LITTLE FUN SHE SAID
7729-102255-0044  ERIE WAS PLACED IN THE CUSTODY OF CAPTAIN MARTIN OF THE KING OF WHO RANGERS WHO PROVED A KIND JAILER IMMATERIALLY ASSISTED AND PROTECTING HIM FROM THE DANGEROUS INTENTIONS OF A BOB WHICH AT THAT TIME HELD LEVIN WERE UNDER THE REIGN OF TERROR
121-121726-0003  AN FEVER A HARD TROUBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW
1580-141083-0038  UNDERSTAND YOU TO SAY TO USE OF YES THERE ARE
8455-210777-0044  THE BE TAKEN AWAY AND CARRIED TO ENGLAND OR ELSEWHERE OR DROWNED UPON THE RUDIENCE MATTER NOT WHICH
260-123286-0012  TO SAY TO USE OF YES THERE ARE THE BE TAKEN AWAY AND CARRIED TO ENGLAND OR ELSEWHERE OR DROWNED UPON THE RUDIENCE MATTER NOT WHICH YOU BUT THERE SEEMED NO REASON OF FEAR
1284-1180-0029  SOMETIMES IT IS CALLED A CRAZY QUILT BECAUSE THE PATCHES AND COLORS ARE SO MIXED UP
8463-294828-0016  DEAD MASTER SAMUNE
7176-88083-0009  FOLLOWED HER BRAVE
2094-142345-0029  DID EVER ANYBODY SEE THE LIKE SCREAMED MISSUS POYSER RUNNING TOWARDS THE TABLE WHEN HER EYE HAD FALLEN ON THE BLUE STREAM
2830-3980-0036  WHEREVER THE MEANS OF GRACE ARE FOUND THERE IS THE HOLY CHURCH EVEN THOUGH ANTICHRIST RINGS THEN
61-70970-0021  RENEWED THEIR JOURNEY AND UNDER THE BETTER LIGHT MADE A SAVE CROSSING OF THE STABLE ROOFS MIGHT
6930-75918-0013  IN THOSE VERY TERMS I EVEN WARS I COME TO RESERTION
260-123286-0002  O MY DANGER A SONGS AT ONEUN TO STRUGGLE A BARK OF HUMAN FEELING I BUT NOW THAT I AM WELL HIS NATURE HAS RESUMED ITS WAY
3570-5696-0006  IS IN THE SPEECH OF EVERY DAY LIFE THE WOOD CARRIES AN UNDERTONE OF DEPLICATION
4970-29093-0013  HE WENT BACK TO HIS BOOKS AND TO HIS WAITING FOR AN OPENING LARGE NAP FOR HIS DIGNIFIED ENTRANCE TO THE LITERARY WORLD
908-31957-0011  AND LOVE BE COST
3570-5696-0002  PERMITTING THAT INSTINCT DISPOSES MEN TO LOOK WITH FAVOUR UPON PRODUCTIVE EFFICIENCY AND ON WHATEVER IS OF HUMAN YOUTH
6930-81414-0026  MY OVERWROUGHT NERVES YIELDED AT LAST
121-127105-0019  MISSUS GRIFFIN HOWEVER EXPRESSED THE NEED FOR A LITTLE MORE LIGHT
121-127105-0021  YOU TELL DOUGLAS
4507-16021-0022  THERE IS LADY AS WELL AS OF THE PURSUS
61-70968-0019  IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD
5105-28241-0007  THERE'S NO FEAR OF THAT SIR
1995-1826-0017  MY BE A BIT OF ORDER HERE AND THERE BUT MOST OF THIS PLACE WAS SUCH DESPERATE PROSE
8224-274384-0011  ENGLISH IT IS EVIDENT HAS THEY NOT BEEN PREVIOUSLY ASSURED OF RECEIVING A KING WOULD NEVER HAVE PARTED WITH SO CONSIDERABLE A SOUL AND WHILE THEY WEAKENED THEMSELVES BY THE SAME LEISURE OF STRENGTHENED THE PEOPLE WITH WHOM THEY MUST OFTEN HAVE SO MATERIAL AND INTEREST TO DISCUSS
4446-2271-0007  TAKE UP WITH ANYBODY NO
7127-75946-0012  CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION
7176-88083-0000  ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED AND BROAD SPLASHES
1284-1180-0007  HE KNEW IT WOULD TAKE THEM TO THE HOUSE OF THE CROOKED MAGICIAN WHOM HE HAD NEVER SEEN BUT WHO WAS THERE NEAREST NEIGHBOR
4992-41806-0011  CARRYINGHORT COFFEE CHOCOLATE AND THE OTHER SELF SERVE THE SANDWICHES AND CAKE DOWN AND SOMETIMES
4970-29095-0014  THY FAMILY ARE KNOWN
6829-68769-0006  THE PROSECUTION WERE WITHDRAWN AND THE CASE SETTLED WITH THE VICTIM OF THE FORT CHEQUE THEN THE YOUNG MAN WOULD BE ALLOWED HIS FREEDOM
1995-1826-0000  IN A BANK BETWEEN THE SENIOR SOCIETIES ARE DEMANDS EVERY MOMENT HAD BEEN NOT ONLY A NOTABLE MID OF REASONING BUT DELIVERED WITH REAL ENTHUSIASM
4992-41797-0008  EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNFATHER TO THE FAMILY AT THE HOUSE OF LORDS
7729-102255-0017  EARTH JONES HAD HIS POCKETS ALWAYS FULL OF WRITS ISSUED IN A SPIRIT OF PERSECUTION BUT WAS OFTEN BAFFLED BY THE SHARP WITS AND READY RESOURCES OF THE FREE STATE PEOPLE AND SOMETIMES HE FIRED OUTRIGHT
5142-33396-0056  AS A RASCAL WHO HAS BEEN HARRYING OUR COAST
1188-133604-0026  HERE IS AN EQUALLY TYPICAL GREEK SCHOOL LANDSCAPE BY WILSON LOST WHOLLY IN GOLDEN MIST THE TREES SO SLIGHTLY DRAWN THAT YOU DON'T KNOW IF THEY ARE TREES OR TOWERS AND NO CARE FOR COLOR WHATSOEVER PERFECTLY DECEPTIVE AND MARVELLOUS EFFECT OF SUNSHINE THROUGH THE MIST APOLLO IN THE PYTHON
3575-170457-0023  I CAREFULLY AVOID ANY APPEARANCE OF PREOCCUPATION AND ACCENTRICITY WHICH MIGHT LEAD THOSE I LIVE AMONGST TO SUSPECT THE NATURE OF MY PURSUITS
672-122797-0053  THEY WERE SO EXTREMELY CURIOUS
4446-2275-0038  I WILL ASK THE LEAST IMAGINABLE BUT I MUST HAVE SOMETHING
4992-41797-0014  RABBIT OR A BIRD LOOK REAL ON PAPER SHE SEARCHED IN HER FATHER'S BOOKS WITH PICTURES OF ITS BOUNDS
237-126133-0002  DEAR SAID MISSUS WHITNEY BE KIND WHAT IT WOULD BE ONE OF YOU
1284-1180-0027  AT THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE
7729-102255-0038  ADJUTANT WHO HAD BEEN HARANGUING THE MOB PLANTED HIS TWO GUNS BEFORE THE BUILDING AND TRAINED THEM UPON IT
5683-32865-0005  BUT HOW GREETING TO CAPTAIN LAKE WAS MORE THAN USUALLY HAUGHTY AND FLOSING AND HER FEATURES I FANCIED PARTICULARLY PROUD AND PALE
8463-294828-0007  CLASSIFYING WAS EVERYTHING TO HIM SO HE KNEW NOTHING ELSE WELL VERSED AND A THEORY OF CLASSIFICATION HE WAS POORLY FIRST IN ITS PRACTICAL APPLICATION AND I DOUBT THAT HE COULD TELL HIS FIRM WILL FROM A BALEINE WHALE
8230-279154-0042  THUS IF I RECOGNIZE A THING THE OCCASION OF ITS PREVIOUS EXISTENCE IN VIRTUE OF WHICH I RECOGNIZE IT FORMS PART OF MY EXPERIENCE BY DEFINITION THE RECOGNITION WILL BE ONE OF THE MARKS BY WHICH MY EXPERIENCE IS SINGLED OUT FROM THE REST OF THE WORLD
4507-16021-0047  A STERN TREMBLING FREE HEALTH AND STEERS TO DAY YOU FEAR FOR YOUR OWN TO MORROW IT WILL BE ANXIETY ABOUT MONEY A DAY AFTER TO MORROW THE DIETRIBE OF A SLANDERER A DAY AFTER THAT THE MISFORTUNE OF SOME FRIEND THEN THE PREVAILING WEATHER THEN SOMETHING THAT HAS BEEN BROKEN OR LOST THEN A PLEASURE WITH WHICH YOUR CONSCIENCE AND YOUR LOVE VERITABLE COLUMN OF COURSE OF PUBLIC AFFAIRS
5683-32879-0019  I HAVE VERY FEW TO LOVE ME NOW AND I THOUGHT YOU MIGHT LOVE ME AS I HAVE BEGUN TO LOVE YOU
5683-32865-0013  DO YOU KNOW LAKE OH I REALLY CAN'T TELL BUT HE'LL SOON TIRE OF COUNTRY LIFE
7176-92135-0012  INDEED LUCIAN MEAN THE KEYNOTE OF HIM WITH THE LUCKY A CLEVER PLAYER COULD TO SOME EXTENT INDICATE THE WHOLE THIRTY LINES BY A SILENT WORKING OF THE JOB BUT AT THE SAME TIME IT WOULD BE IDLE TO DENY THAT HE WOULD MISS THE FINER SHADES OF THE DRAMATIST'S MEANING
61-70968-0035  TAKING ADVANTAGE OF THIS THE SQUIRE'S FEW MEN REDOUBLED THEIR EFFORTS AND ENCOURAGED BY ROBINS IN THE LITTLE STROLLER'S CRIES FOUGHT THEIR WAY TO HIM
7021-79740-0001  WELL HAVE A YOUNG SISTER NAMED MARIA AND A COUSIN WHOSE NAME WAS JANE
1284-1180-0020  THE FIRST LOT WE TESTED ON OUR GLASS HAT WHICH NOT ONLY BEGAN TO LIVE BUT HAS LIVED EVER SINCE
1221-135767-0001  ANOTHER AND FAR MORE IMPORTANT REASON THAN THE DELIVERY OF A PAIR OF EMBROIDERED GLOVES IMPELLED HESTER AT THIS TIME TO SEEK AN INTERVIEW WITH A PARSONAGE OF SO MUCH POWER AND ACTIVITY IN THE AFFAIRS OF THE SETTLEMENT
3729-6852-0010  NEVER HAD ANY FAMILY
5639-40744-0033  WAS GRACEFUL AND ANIMATED SHE LED HER SON BY THE HAND AND BEFORE HER WALKED TWO MAIDS WITH WAX LIGHTS AND SILVER PALLIS FANNIED FARMER
7176-92135-0013  WE MODERNS HOWEVER SEE THE ABSURDITY OF IT
6930-75918-0002  CONGRATULATIONS WERE POURING IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY
8555-284447-0006  ONE GLAZE AT THE HEAD OF THE ROOM WAS A RAISED PLATFORM FOR THE ROYAL FAMILY WITH ELEGANT THROWN CHEERS FOR THE KING AND QUEENER BUT RICHLY IMPOSTORED CHAIRS
672-122797-0000  OUT IN THE WOOD STOOD A NICE LITTLE FIR TREE
5683-32865-0001  SAID LORD CHELFORD ADDRESSING ME
1995-1836-0001  AT LAST THE COTTON COMBINE WAS TO ALL APPEARANCES AND ASSURED FACT AND HE WAS SLATED FOR THE SENATE
6930-76324-0028  WELL I'M CONVINCED THAT THE FORDED UP HOUSE MYSTERY HAPPENED NOT EARLIER THAN EIGHT OR SIXTEENTH EIGHTEEN SIXTY ONE AND PROBABLY NOT MUCH LATER
8555-284447-0008  IT BLUE STONES GLITTERED AND THE ROYAL LADIES WERE FULLY AS CORIOUS AS THE WARE HALTING OVERBEARING
1221-135767-0020  IN TRUTH SHE SEEMED ABSOLUTELY HIDDEN BEHIND IT
8230-279154-0020  BEFORE I HAD RETAINED THE SUBJECT OR ACT IN KNOWLEDGE THE WHOLE PROBLEM OF MEMORY WOULD HAVE BEEN COMPARATIVELY SIMPLE
8455-210777-0028  JACK WOULD BECOME EVEN AS HAPPY HUSBAND AND WOULD REMAIN AMISS THE HURRIED DUTIES OF THE EAGER WORLD
2961-960-0018  BUT IN THE REST OF THE WORK THE POWER OF LANGUAGE SEEMS TO FAIL HIM AND THE DRAMATIC FORM IS WHOLLY GIVEN UP
4507-16021-0042  BLACK AND MISFORTUNE IS AS BLACKER STILL AND CRIME THESE TWO BLACKNESSES AMALGAMATED
8455-210777-0048  OVER BECOME OF YOUR GUN WERE I TO CANNOT YOU
