121-121726-0005 
121-127105-0019 N HOWEVER EXPRESSED A NEED FOR A LITTLE MORE LIGHT
121-127105-0021  YOU DULL DOUGLAS
8463-294828-0001  THREE SECONDS BEFORE THE ARRIVAL OF J B HOBSON'S LETTER I KNOW MARSING THE UNICORN AND OF TRYING FOR THE NORTH WEST PASSAGE
8463-294828-0006  FROM RUBBING SHELTERS WITH SCIENTISTS AND OUR LITTLE UNIVERSE BY THE BATANICAL GARDENS THE BOY HAD COME TO KNOW A THING OR TWO
8463-294828-0013  HE WAS A FANATIC UNFORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT HIGHER
8463-294828-0016  DEAD MASTER SIMONY HE SAID ENTERING
8463-294828-0020  YES THEY ARE CERTAINLY I REPLIED EVASIVELY BUT AFTER WE MAKE A DETOUR
8555-284447-0015  THEY LOOK SOMETHING ALIKE YOU KNOW SUGGESTED THE CAPTAIN OF THE GUARDS LOOKING FROM ONE TO THE OTHER DOUBTFULLY AND THEY NEARLY THE SAME SIZE EXTEND ABOVE ON A HIGH LEGS THEY'VE BOTH GOT THE SAME STYLE OF WHISKERS AND THEIR BOAT WITH THEM OBSTINATE AND DANGEROUS SO THEY OUGHT TO MAKE A GOOD PATCH SPLENDID
8555-292519-0007  IT IS MY HEART HUNG IN THE SKY AND NO CLOUDS EVER FLOAT BETWEEN THE GRAVE FLOWERS AND MY HEART ON HIGH
61-70968-0020  SHE MUZ CRIED HE I BLUSH FOR MY FELLOWS OF NOTTINGHAM
61-70970-0007  HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM
61-70970-0015  WILL CRIED HE SOFTLY AND STUTELEY WHO HAD CHOSEN HIS COUCH ACROSS THE DOOR OF HIS YOUNG MASTER'S CHAMBER SPRANG UP AT ONCE AT ANSWER
61-70970-0021  THEY THEN RENEWED THEIR JOURNEY AND UNDER THE BETTER LIGHT MADE A SAVE CROSSING OF THE STABLE ROOFS
61-70970-0023  BE NOT SO FOOLISH FRIEND SAID FITZOOTH CROSSLY
121-121726-0003  AY FEVER A HEART TREBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW
4077-13754-0001  BUT A WORD FURTHER CONCERNING THE EXPEDITION IN GENERAL
4446-2271-0007  DOESN'T TAKE UP WITH ANYBODY YOU KNOW
4446-2271-0015  LITTLE ATTACK OF NERVES POSSIBLY
4446-2275-0004  ALEXANDER DID NOT SIT DOWN
4446-2275-0038  I WILL ASK THE LEAST IMAGINABLE BUT I MUST HAVE SOMETHING
4446-2275-0043  PARTLY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES
4507-16021-0008  THAT OF HORSE IT DOES
4507-16021-0022  THERE IS THE SAYING OF THE AFFECTED LADY AS WELL AS OF THE FETHUSES
4970-29093-0013  AND HE WENT BACK TO HIS BOOKS AND TO HIS WAITING FOR AN OPENING LARGE ENOUGH FOR HIS DIGNIFIED ENTRANCE INTO THE LITERARY WORLD
4970-29093-0020  I IT'S A MISSOURI SOMEWHERE ON THE FRONTIER I THINK WE'LL GET HIM OUT
4970-29095-0014  AT THE END THY FAMILY ARE KNOWN
4970-29095-0035  AND IF I HAD A FORTUNE WHAT DO YOU WANT ME TO LEAD A USELESS LIFE
4970-29095-0037  AT THAT WISE AND PLACID WOMAN UNDERSTOOD THE SWEET REBEL A GREAT DEAL BETTER THAN RUTH UNDERSTOOD HERSELF
4970-29095-0038  RUTH WAS GLAD TO HEAR THAT PHILIP HAD MADE A PUSH INTO THE WORLD AND SHE WAS SURE THAT HIS TALENT AND COURAGE WOULD MAKE AWAY FOR HIM
4992-41797-0008  MISTER POPHAM EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNSAID IN HIS NARRATIVE OF THE FAMILY AT THE HOUSE OF LORDS
4992-41797-0010  ALWAYS IRRITABLE COLD INDIFFERENT HE HAD GROWN RAPIDLY MORE SO AS HE IS WENT ON
4992-41806-0011  MOTHER CAREY POURED COFFEE NANCY CHOCOLATE AND THE OTHERS HELP SERVED THE SANDWICHES AND CAKE DONATS AND TARRANTS
5105-28233-0010  A MONKES ASKED HER HE MADE NO PRETENSION TO ANY GIFT OF POETIC POWER BUT HIS INEXHAUSTIBLE MEMORY MADE HIM A LIVING ENCYCLOPAEDIA AND FOR HIS STOCK OF ANECDOTES AND TROOPER'S TALES HE WAS MATCHLESS
5105-28241-0007  NO FEAR OF THAT SIR
5142-33396-0056  HERE THIS IS A RASCAL WHO HAS BEEN HURRYING OUR COAST
5683-32865-0001  SAID LORD CHELFORD ADDRESSING ME
5683-32865-0017  ALL TIME HE WAS TALKING TO ME HIS ANGRY LITTLE EYES WERE FOLLOWING WINK
5683-32866-0004  BY THIS TIME LORD CHELFORD AND WYLDER RETURNED AND DISGUSTED RATHER WITH MYSELF I RUMINATED ON MY WANT OF GENERALSHIP
6829-68769-0025  THEN RUDDERS WOULDN'T DO ANYTHING BUT LEAD HER AROUND AND WAIT UPON HER AND THE PLACE WENT TO RECKON RUIN
6930-75918-0000  CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS
6930-75918-0002  CONGRATULATION REPORT IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY
6930-75918-0013  IN THOSE VERY TERMS I EVEN HAD IT MORE
6930-76324-0028  WELL I CONFESS THAT THE POINTED UP HOUSE MYSTERY HAPPENED NOT EARLIER THAN EIGHT SIXTEENTH EIGHTEEN SIXTY ONE AND PROBABLY NOT MUCH LATER
7127-75946-0017  HIS LEGS THE BEST SHAPED AT COURT WERE DISPLAYED TO GREAT ADVANTAGE AND FLESH COLOURED SULK AND HOSE A SILK SO FINE AND SO TRANSPARENT THAT IT SEEMED ALMOST LIKE FLESH ITSELF
7176-88083-0026  THE DRAG UPON HIS BEAK AND THE LIGHT CHECK UPON HIS WINGS WERE INEXPLICABLE TO HIM AND APPALLING
7176-92135-0002  BUT EVEN THE UNSUCCESSFUL DRAMATIST HAS HIS MOMENT
7176-92135-0011  MOUNT THE OBJECT OF THIS SOLICY IS PLAIN
7176-92135-0013  WE MODERNS HOWEVER SEE THE ABSURDITY OF IT
7176-92135-0020  BUBBLED MY TWO THREE ELZANOR DOUBLE NOT YES HELLO IS THAT YOU HORATIO HAMMA SPEAKING
7176-92135-0042  A NOVELS THE HERO HAS OFTEN PUSHED HIS MEALS AWAY UNTASTED BUT NO STAGERA WOULD DO ANYTHING SO UNNATURAL AS THIS
7729-102255-0009  ALL DESCENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TOWNS LIKE LEAVENWORTH BRANDED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH
7729-102255-0017  SHERIFF JONES HAD HIS POCKETS ALWAYS FULL OF WRITS ISSUED IN A SPIRIT OF PERSECUTION BUT WAS OFTEN BAFFLED BY THE SHARP WITS AND READY RESOURCES OF THE FREE STATE PEOPLE AND SOMETIMES DEFIED OUTRIGHT
7729-102255-0038  ADJISN WHO HAVE BEEN HARANGUING THE MOB PLANTED HIS TWO GUNS BEFORE THE BUILDING AND TRAINED THEM UPON IT
7729-102255-0039  THE INMATES BEING REMOVED AT THE APPOINTED HOUR IF YOU CANN BALLS WERE FIRED THROUGH THE STONE WALLS
7729-102255-0040  IN THIS INCIDENT CONTRASTING THE CREATIVE AND THE DESTRUCTIVE SPIRIT OF THE FACTIONS THE EMIGRANT AIDS SOCIETY OF MASSACHUSETTS FINDS ITS MOST HONORABLE AND TRIUMPHANT VINDICATION
8224-274381-0006  THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM
8224-274384-0011  THE ENGLISH IT IS EVIDENT HAD THEY NOT BEEN PREVIOUSLY ASSURED OF RECEIVING THE KING WOULD NEVER HAVE PARTED WITH SO CONSIDERABLE A SOM AND WHILE THEY WEAKENED THEMSELVES BY THE SAME MEASURE HAVE STRENGTHENED PEOPLE WITH WHOM THEY MUST AFTERWARDS HAVE SO MATERIAL AN INTEREST TO DISCUSS
8224-274384-0012  IF ON HE STILL RETURNED RANCOUR AGAINST HIM IN HIS PRESENT CONDITION THEY PASSED IN SILENCE WHILE HIS WILL WISHERS MORE GENEROUS THAN PRUDENT ACCOMPANIED HIS MARCH WITH TEARS WITH ACCLAMATIONS AND WITH PRAYERS FOR HIS SAFETY
8230-279154-0005  ALL THAT I AM DOING IS TO USE ITS LOGICAL TENABILITY AS A HELP IN THE ANALYSIS OF WHAT OCCURS WHEN WE REMEMBER
8230-279154-0020  IF WE HAD RETAINED THE SUBJECT OR ACT IN KNOWLEDGE THE WHOLE PROBLEM OF MEMORY WOULD HAVE BEEN COMPARATIVELY SIMPLE
8230-279154-0042  THUS IF I RECOGNIZE THE THING THE OCCASION OF ITS PREVIOUS EXISTENCE IN VIRTUE OF WHICH I RECOGNIZE IT FORMS PART OF MY EXPERIENCE BY DEFINITION THE RECOGNITION WILL BE ONE OF THE MARKS BY WHICH MY EXPERIENCE IS SINGLED OUT FROM THE REST OF THE WORLD
8455-210777-0028  JACK WOULD BECOME EVEN AS HAPPY HUSBAND AND WOULD REMAIN AMISS THE HURRIED DUTIES OF THE EAGER WORLD
8455-210777-0035  THAT IS ALL QUITE TRUE MISTER BEEN SAID SIR FERDINANDO
8455-210777-0041  CAME UPON YOU SOME SHOP WHEN I HEARD IT TOWARDS WHICH EXCEEDED ANYTHING WHICH I HAD YET FELT
8455-210777-0055  SIR I HAVE IT IN COMMAND TO INFORM YOUR EXCELLENCY YOU HAVE AN APPOINTED GOVERNOR OF THE CROWN COM WHICH IS CALLED WRITTEN YOU
8463-294828-0007  PLAZAI WAS EVERYTHING HAPPY KNEW NOTHING ELSE WELL VERSED AN ETHERE OF CLASSIFICATION HE WAS POORLY URGED IN ITS FRAGICAL APPLICATION AND I NOW THAT HE COULD TELL HIS FIRM WILL FROM A FELLINE WHALE
8463-294828-0024  YOU ARE NOWHERE
8463-294828-0027  I LEFT INSPASSIONS WISHING MY CONTAINERS OF STUFFED ANIMALS AND DYE PLANTS TO PARIS FRANCE
8555-284447-0006  IN ONE PLACE AT THE HEAD OF THE ROOM WAS A RAISED PLATFORM WAS A ROYAL FAMILY WITH ELEGANT THRONE CHAIRS FOR THE KING AND QUEEN AND SIX SMALLER BUT RICHLY UPHOLSTERED CHAIRS FOR THIS NOSED PRINCESSES
8555-284447-0008  RICH JEWELS OF BLUE STONES GLITTERED UPON NEIGHBORS AND THE ROYAL LADIES WERE FULLY AS GORGEOUS AS TO WHERE HALTING AND OVERBEARING
8555-292519-0009  OH HE SAILS THAT SEEM TO WONDER AND DREAM DELIC MEADOWS SAY IS THE SHORE WHERE I STAND THE ONLY FIELD OF STRUGGLE FOR ARE YE HID EMBATTERED OUT THERE BY WAVES AND WIND GUSTS AS YE TANK OVER A CLASHING SEA OF WATERY ECHOES
8555-292519-0010  OLD DANCES ARE SIMPLIFIED AT THEIR YEARNING BLEACHED BY TIME
61-70968-0016  AND THEN THEY BECAME VEXED AND WOULD SNATCH YOUR PURSE FROM US
61-70968-0019  IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD
61-70968-0027  ROBIN IN A LITTLE TEMPER BETWEEN THEM TRIED TO FORCE THE SQUIRE TO STAND BACK AND VERY VALIANTLY TO THESE TWO COMPORT THEMSELVES
61-70968-0035  ICHING ADVANTAGES THE SQUIRE'S FEW MEN REDOUBLED THEIR EFFORTS AND ENCOURAGED BY ROBINS IN THE LITTLE STROLLER'S CRIES FOUGHT THEIR WAY TO HIM
61-70970-0039  HE IMPLORS US TO BE DISCREET AS THE GRAVE IN THIS MATTER FOR IN SOOTH HIS LIFE IS IN THE HOLLOW OF OUR HANDS
