121-121726-0005  FANCY
8455-210777-0044  I WAS TO BE TAKEN AWAY AND CARRIED TO ENGLAND OR ELSEWHERE OR DROWNED UPON THE VOYAGE A MATTER NOT WHICH
8455-210777-0047  YOU PROPOSE TO KIDNAP ME I SAID
8455-210777-0048  WHAT WOULD BECOME OF YOUR GUN WERE I TO KIN UP YOU
8455-210777-0059  BUT IT IS SURMISED THAT YOU WILL FIND DIFFICULTIES IN THE WAY OF YOUR ENTERING AT ONCE UPON YOUR GOVERNOR
8463-294825-0008  I FETCH OF THE NOVEL'S BREADING POWER COMES FROM CAPTAIN NEMO
8463-294825-0012  THE NAUTILUS NEARLY PERISHES IN THE ANTARCTIC AND NEMO SAINTS INTO ECHOING DEPRESSION
8463-294828-0000  CAPTA THREE AS MASTER WISHES
8463-294828-0001  THREE SECONDS BEFORE THE ARRIVAL OF J B HOBSON'S LETTER I KNOW MORE DREAMED OF CHASING THE UNICORN THAN OF TRYING FOR THE NORTH WEST PASSAGE
8463-294828-0006  FROM RUBBING SHELTERS WITH SCIENTISTS AT OUR LITTLE UNIVERSE BY THE BATANICAL GARDENS THE BOY HAD COME TO KNOW A THING OR TWO
8463-294828-0013  HE WAS A FANATIC UNFORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT HYACIN
8463-294828-0016  DEAD MASTER SEMINE HE SAID ENTERING
8463-294828-0020  YES WE ARE CERTAINLY I REPLIED EVASIVELY BUT AFTER WE MAKE A DETOUR
8555-284447-0015  THEY LOOK SOMETHING ALIKE YOU KNOW SUGGESTED THE CAPTAIN OF THE GUARDS LOOKING FOR ONE TO THE OTHER DOUBTFULLY AND I NEARLY THE SAME SIZE IF HE STAND ABOVE ON HIS HIND LEGS THEY BOTH GOT THE SAME STYLE OF WHISKERS AND THEY'RE BOTH OF THEM OBSTINATE AND DANGEROUS SO THEY OUGHT TO MAKE A GOOD PATCH SPLENDID
8555-292519-0007  IT IS MY HEART HUNG IN THE SKY AND NO CLOUDS EVER FLOAT BETWEEN THE GRAVE FLOWERS AND MY HEART ON HIGH
61-70968-0020  G ON YOU CITIZENS CRIED HE I BLUSH FOR MY FELLOWS OF NOTTINGHAM
61-70970-0007  HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM
61-70970-0015  WILL CRIED HE SOFTLY AND STUTELEY WHO HAD CHOSEN HIS COUCH ACROSS THE DOOR OF HIS YOUNG MASTER'S CHAMBER SPRANG UP AT ONCE AN ANSWER
61-70970-0021  THEY THEN RENEWED THEIR JOURNEY AND UNDER THE BETTER LIGHT MADE A SAVE CROSSING OF THE STABLE ROOFS
61-70970-0023  BE NOT SO FOOLISH FRIEND SAID FITUTH CROSSLY
4077-13754-0001  BUT A WORD FURTHER CONCERNING THE EXPEDITION IN GENERAL
4446-2271-0007  SHE DOESN'T TAKE UP WITH ANYBODY YOU KNOW
4446-2271-0015  A LITTLE ATTACK OF NERVES POSSIBLY
4446-2275-0004  ALEXANDER DID NOT SIT DOWN
4446-2275-0038  I WILL ASK THE LEAST IMAGINABLE BUT I MUST HAVE SOMETHING
4446-2275-0043  THEY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES
4507-16021-0008  WHAT DENIES THAT OF COURSE IT DOES
4507-16021-0022  THERE IS THE SLAYING OF THE AFFECTED LADY AS WELL AS OF THE PRESSUESIS
4970-29093-0013  AND HE WENT BACK TO HIS BOOKS AND TO HIS WAITING FOR AN OPENING LARGE ENOUGH FOR HIS DIGNIFIED ENTRANCE INTO THE LITERARY WORLD
4970-29093-0020  I TEM MISSOURI SOMEWHERE ON THE FRONTIER I THINK WE'LL GET A MAP
4970-29095-0014  THE AND THY FAMILY ARE KNOWN
4970-29095-0035  AND IF I HAD A FORTUNE WHAT DO YOU WANT ME TO LEAD A USELESS LIFE
4970-29095-0037  BUT THAT WISE AND PLACID WOMAN UNDERSTOOD THE SWEET REBEL A GREAT DEAL BETTER THAN RUTH UNDERSTOOD HERSELF
4970-29095-0038  RUTH WAS GLAD TO HEAR THAT PHILIP HAD MADE A PUSH INTO THE WORLD AND SHE WAS SURE THAT HIS TALENT AND COURAGE WOULD MAKE AWAY FOR HIM
4992-41797-0008  MISTER POPHAM EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNSAID IN HIS NARRATIVE OF THE FAMILY AT THE HOUSE OF LORDS
4992-41797-0010  ALWAYS IRRITABLE COLD INDIFFERENT HE HAD GROWN RAPIDLY MORE SO AS YEARS WENT ON
4992-41806-0011  MOTHER CAREY POURED COFFEE NANCY CHOCOLATE AND THE OTHERS HELP SERVED THE SANDWICHES AND CAKE DOWNETS AND TORRENTS
5105-28233-0010  A MICA'S MASTER HE MADE NO PRETENSION TO ANY GIFT OF POETIC POWER BUT HIS INEXHAUSTIBLE MEMORY MADE HIM A LIVING ENCYCLOPAEDIA AND FOR HIS STOCK OF ANECDOTES AND TROOPER'S TALES HE WAS MATCHLESS
5105-28241-0007  THERE'S NO FEAR OF THAT SIR
5142-33396-0056  HERE THEY SAID IS A RASCAL WHO HAS BEEN HARRYING OUR COAST
5683-32865-0001  SAID LORD CHELFORD ADDRESSING ME
5683-32865-0017  ALL THE TIME HE WAS TALKING TO ME HIS ANGRY LITTLE EYES WERE FALLEN WEAK
5683-32866-0004  BY THIS TIME LORD CHELFORD AND WYLDER RETURNED AND DISGUSTED RATHER WITH MYSELF I RUMINATED ON MY WANT OF GENERALSHIP
6829-68769-0025  THEN ROGERS WOULDN'T DO ANYTHING BUT LEAD HER AROUND AND WAIT UPON HER AND THE PLACE WENT TO WRECK AND RUIN
6930-75918-0000  CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS
6930-75918-0002  IN GRATULATIONS WERE POURED IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY
6930-75918-0013  IN THOSE VERY TERMS I EVEN HAD IT MORE
6930-76324-0028  WELL I CONFESSED AT THE BOARDED UP HOUSE MYSTERY HAPPENED NOT EARLIER THAN EIGHT SIXTEENTH EIGHTEEN SIXTY ONE AND PROBABLY NOT MUCH LATER
7127-75946-0017  HIS LEGS THE BEST SHAPED AT COURT WERE DISPLAYED TO GREAT ADVANTAGE AND FLESH COLOURED SULK AND HOSE A SILK SO FINE AND SO TRANSPARENT THAT IT SEEMED ALMOST LIKE FLUSH ITSELF
7176-88083-0026  THE DRAG UPON HIS BEAK AND THE LIGHT CHECK UPON HIS WINGS WERE INEXPLICABLE TO HIM AND APPALLING
7176-92135-0002  BUT EVEN THE UNSUCCESSFUL DRAMATIST HAS HIS MOMENTS
7176-92135-0011  NOW BE THE OBJECT OF THIS OLD LOQUAY IS PLAIN
7176-92135-0013  WE MODERNS HOWEVER SEE THE ABSURDITY OF IT
7176-92135-0020  DOUBLED NINE TWO THREE ELZANOR DOUBLE NOT YES HELLO IS THAT YOU HORATIO HAM WAS BEAKING
7176-92135-0042  A NOVEL THE HERO HAS OFTEN PUSHED HIS MEALS AWAY UNTASTED BUT KNOWS DEARERO WOULD DO ANYTHING SO UNNATURAL AS THIS
7729-102255-0009  ALL DESCENT ALL NON COMPLIANCE ALL HESITATION ALL MERE SILENCE EVEN WERE IN THEIR STRONGHOLD TOWNS LIKE LEVIN WORTH GRANTED AS ABOLITIONISM DECLARED TO BE HOSTILITY TO THE PUBLIC WELFARE AND PUNISHED WITH PROSCRIPTION PERSONAL VIOLENCE EXPULSION AND FREQUENTLY DEATH
7729-102255-0017  DERRIFT JONES HAD HIS POCKETS ALWAYS FULL OF WRITS ISSUED IN THE SPIRIT OF PERSECUTION BUT WAS OFTEN BAFFLED BY THE SHARP WITS AND READY RESOURCES OF THE FREE STATE PEOPLE AND SOMETIMES DEFIED OUTRIGHT
7729-102255-0038  ADJUTANT WHO HAD BEEN HARANGUING THE MOB PLANTED HIS TWO GUNS BEFORE THE BUILDING AND TRAINED THEM UPON IT
7729-102255-0039  THE INMATES BEING REMOVED AT THE APPOINTED HOUR IF YOU CANNON BALLS WERE FIRED THROUGH THE STONE WALLS
7729-102255-0040  IN THIS INCIDENT CONTRASTING THE CREATIVE AND THE DESTRUCTIVE SPIRIT OF THE FACTIONS THE IMMIGRANT AID SOCIETY OF MASSACHUSETTS FINDS ITS MOST HONORABLE AND TRIUMPHANT VINDICATION
8224-274381-0006  THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM
8224-274384-0011  THE ENGLISH IT IS EVIDENT HAD THEY NOT BEEN PREVIOUSLY ASSURED OF RECEIVING THE KING WOULD NEVER HAVE PARTED WITH SO CONSIDERABLE A SUM AND WHILE THEY WEAKENED THEMSELVES BY THE SAME MEASURE HAVE STRENGTHENED TO PEOPLE WITH WHOM THEY MUST AFTERWARDS HAVE SO MATERIAL AN INTEREST TO DISCUSS
8224-274384-0012  IF ON EACH STILL RETAIN RANCOUR AGAINST HIM IN HIS PRESENT CONDITION THEY PASSED IN SILENCE WHILE HIS WILL WISHERS MORE GENEROUS THAN PRUDENT ACCOMPANIED HIS MARCH WITH TEARS WITH THAT CLAMATIONS AND WITH PRAYERS FOR HIS SAFETY
8230-279154-0005  ALL THAT I AM DOING IS TO USE ITS LOGICAL TENABILITY AS A HELP IN THE ANALYSIS OF WHAT OCCURS WHEN WE REMEMBER
8230-279154-0020  IF WE HAD RETAINED THE SUBJECT OR ACT IN KNOWLEDGE THE WHOLE PROBLEM OF MEMORY WOULD HAVE BEEN COMPARATIVELY SIMPLE
8230-279154-0042  THUS IF I RECOGNIZE A THING THE OCCASION OF ITS PREVIOUS EXISTENCE AND VIRTUE OF WHICH I RECOGNIZE IT FORMS PART OF MY EXPERIENCE BY DEFINITION THE RECOGNITION WILL BE ONE OF THE MARKS BY WHICH MY EXPERIENCE IS SINGLED OUT FROM THE REST OF THE WORLD
8455-210777-0028  JACK WOULD BECOME EVEN AS HAPPY HUSBAND AND WOULD REMAIN THIS THE HURRIED DUTIES OF THE EAGER WORLD
8455-210777-0035  THAT IS ALL QUITE TRUE MISTER NEVERBEND SAID SIR FERDINAND OBROUND
8455-210777-0041  THERE CAME UPON ME A SUDDEN SHOP WHEN I HEARD THESE WORDS WHICH EXCEEDED ANYTHING WHICH I HAD YET FELT
8455-210777-0055  SIR I HAVE IT IN COMMAND TO INFORM YOUR EXCELLENCY THAT YOU HAVE BEEN APPOINTED GOVERNOR OF THE CROWN COLONY WHICH IS CALLED BRITAIN ULLER
8463-294828-0007  CLASSIFYING WAS EVERYTHING TO HIM SO HE KNEW NOTHING ELSE WELL VERST AND A THEORY OF CLASSIFICATION HE WAS POORLY URST IN ITS PRACTICAL APPLICATION AND I DOUBT THAT HE COULD TELL US VERY WELL FROM A BALLEN WHALE
8463-294828-0024  WE DON'T KNOW WHERE IT WILL TAKE US
8463-294828-0027  I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRY PLANTS TO PARIS FRANCE
8555-284447-0006  IN ONE PLACE AT THE HEAD OF THE ROOM WAS A RAISED PLATFORM FOR THE ROYAL FAMILY WITH ELEGANT THRONG CHEERS FOR THE KING AND QUEEN AND SIX SMALLER BUT RICHLY IMPOSTERED CHAIRS FOR THIS SNUB NOSED PRINCESSES
8555-284447-0008  RICH JEWELS OF BLUE STONES GLITTERED UPON THEIR PERSONS AND THE ROYAL LADIES WERE FULLY AS CORGEOUS AS TO WEAR HALTING AND OVERBEARING
8555-292519-0009  HOME YE SAILS THAT SEEM TO WONDER AND DREAM FILLED MEADOWS SAY IS THE SHORE WHERE I STAND THE ONLY FIELD OF STRUGGLE OR ARE YE HID AND BATTERED OUT THERE BY WAVES AND WHEN THUS AS YE TAKE OVER A CLASHING SEA OF WATERY ECHOES
8555-292519-0010  OLD DANCES ARE SIMPLIFIED AT THEIR YEARNING BLEACHED BY TIME
61-70968-0016  AND THEN THEY BECAME VEXED AND WOULD HAVE SNATCHED YOUR PURSE FROM US
61-70968-0019  IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD
61-70968-0027  ROBIN AND THE LITTLE TUMBLER BETWEEN THEM TRIED TO FORCE THE SQUIRE TO STAND BACK AND VERY VALIANTLY DID THESE TWO COMPORT THEMSELVES
61-70968-0035  TAKING ADVANTAGE OF THIS THE SQUIRE'S FEW MEN REDOUBLED THEIR EFFORTS AND ENCOURAGED BY ROBINS IN THE LITTLE STROLLER'S CRIES FOUGHT THEIR WAY TO HIM
61-70970-0039  HE IMPLORS US TO BE DISCREET AS THE GRAVE IN THIS MATTER FOR IN SOOTH HIS LIFE IS IN THE HOLLOW OF OUR HANDS
