3005-163389-0001  SONG OUT TEAR DOWN THE FENCE TEAR DOWN THE FENCE
3005-163399-0012 NSISTED ON THE MEANS OF ONE THOUGHT I AM LOST TAKE OUT THE CLOTHISH AND STRAIN THE BROTH THROUGH A NAPKIN BY PRESSURE INTO A BASIN ALL THE ESSENCE FROM THE VEGETABLES SHE WAS LATE FOR TEA AT HOME DONKEY HURRICK AND SAID AND HE TAKING IT WITH BOTH HANDS IN GOOD PAIN AND WITH A BETTER WILL HELPED IT DOWN AND JANE A VERY LITTLE LESS IN HIS MASTER NOW GOT REPLIED COME ALL TORT AZARA TO SAY ME IS ALIO KHARA WITH YE WILL RECITE THE FIRST TIME HATH RECITED THE SECOND TIME AND I HEARD HIM HARD BY A CHERRY GOOD NAT POSSIBLY FINE THAT THE PRISONER HAD NOT DELIBERATELY AN INTENTION BLOWN UP THE ALBERT HALL NO QUESTION WAS COULD THEY FIND ANY EXTENUATING CIRCUMSTANCES WHICH WOULD PERMIT OF AN ACQUAINTAL YOU MUST HAVE CALLED THE STONES I'LL TELL YOU THE STORY OF MY SEVENTH AND LAST VOYAGE WHICH IS STILL MORE WONDROUS AND MARVELLOUS THAN THAT OF THE FIRST SIXTEEN HAVING TRIED THE AFFECTIONS OF YOUR PEOPLE YOU ABSORBED AND LOOSE FROM ALL THE GOVERNMENT AND MAY DO WHAT POWER WILL ADMIT HIS FATHER SPECULATED WILDLY FAILED AND THEN KILLED HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE GUISM MOSES JUST FUN AND RESIST IN THE EGYPTIAN TOW'S MASTER I LOVE YOU AND HAVE LOVED YOU ALWAYS I AM AUGHT YOU KNOW AND PREFERRED TO BE AN INDEPENDENT SPINSTER AND TEACH MUSIC ALL MY DAYS I HOPE MARIA BAILEY IS ONLY THINK SIR SHE ADDED SOFTLY I COULD NOT BEAR TO HAVE BEEN DISAPPOINTED AGAIN IF YOU CLEAN THEY SAY HONEST POVERTY AND IF YOU DIRTY THEY SAY SERVE YOU RIGHT THE YOUTH LIKED THE THOUGHT OF THIS LET THE HOLES RUBBER THEY CHOSE AND SEATED HIMSELF IN THE CLOCK OF THE ROCK BY THE SIDE OF THE OLD HAG WE WERE INSIDE OF OUR LONG SAW HORSES WHEN THEY COULD USA FROM THE ANIMALS AND OUR LAST HOPE WAS GONE WHO'S GETTING EVEN FATTER NOW THAT HE WAS EATING BETTER FOOD FROM THE FAIR RESTAURANT AROUND THE CORNER MARGARET HELD HER IN HER ARMS AND PUT THE WEARY HEAD TO REST UPON HER BOSOM THIS PINION ALWAYS DISASTRATES NOT OWING TO ITS VICTIMS ARE ALSO TO THE GOVERNMENT IMPOSING IT YOU ONLY A SHAMPLE THE HORSES I SAID EVERY MAN FOR HIMSELF SHARP LOOKOUT ON THE CLIFF DECEITORY STROKE HIS MAKING SIGNALS FOR A BOAT OH ASKED THE MATE I'VE SEEN IGN UP HERE THAT THERE ARE SOME IN STEERAGE NOW HUSTLE BACK RIGHT OFF AND FETCH THE DUKE UP HERE AND THE NEW CARPET BAGS EYES SHONE WITH PLEASURE AT THE ANTICIPATION OF THE DELIGHTFUL TYPE SHE WOULD HAVE RIVELING IN THE HOME NEWS THE OTHER LETTER WAS DIRECTED TO ANY COLCHESTER SO THE ARTIST FOUND HIMSELF OBLIGED TO RELINQUISH HIS OPPOSITION I'M CALLED UPON THE PAPERS PLEASED THEM AT BETOO SHARKED THERE'S THE PEASANTS DO I WONDER AT THEM SOMETIMES ANY GOOD PEASANT TRIES TO TAKE ALL THE LAND HE CAN WHEN THE KING ENTERED AND SAW HE STOOD STILL AS IF HE WERE IN FETTERS AND COULD NOT STIR FROM THE SPOT WITH A PICTURE SEEMED TO HIM SO BEAUTIFUL AND HAVING PUT HIMSELF ON A FAIR WAY AS HE HOPED TO SOLVE SOME OF THE PROBLEMS CONNECTED WITH THE DARCY CASE COLONEL HASH WENT DOWN TO POLICE HEAD BORDERS TO LEARN MORE FACTS IN THE CONNECTION WITH THE MURDER OF THE EAST INDIAN BY THE VIRGIL OF GOD WHY DO NOT YOU SING TEN YEARS FAREWELL VINTAGE IS NOT THAT THEY MAY KEEP IT AS NECESSARY NOT TO BE SPARING OF SUGAR FIFTEEN O THREE FOLLOWED HIM LENIN LISTENED TO NOVET ABSORBING INTENSITY THE CLAWS OF THE POOR BLANKETED WRETCH WERE SO LOUD THAT THEY REACHED THE EARS OF HIS MASTER WHO HALTING TO LISTENTIVELY WAS PERSUADED THAT SOME NEW AVENGER WAS COMING UNTIL HE CLEARLY PERCEIVED THAT IT WAS THE SQUIRE WHO UTTERED THEM IT FOLLOWED THAT THERE COULD NOT HAVE BEEN ANY INTELLIGENCE ANY DESIGN BACK WITH MOTHER AND FORTH TAN SAID NEEDS MY STYLV ZAY NOVELS SAY NOW SUCH A LAY THERE CAME A RAP AT THE DOOR AND THE MAID SAID WHO IS AT THE DOOR SO CIGARET SAID THAT SWORD WOULD DO IT HAS KNOWN HOW ODD HER LIVES AND HAS A GOOD INFLUENCE OVER HER IN THE MEANTIME FRIAR JOHN WITH HIS FORMIDABLE BUTTON OF THE CROSS GOT TO THE BREACH WHICH THE ENEMIES HAD MADE AND THERE STOOD TO SNATCH UP THOSE THAT ENDEAVOURED TO ESCAPE EACH WASHING'S MOVEMENTS EACH AND AGAIN A GLOATING EYE UPON THE HEAP OF GOLD AND GREEN BACK AND AT TIMES STRETCHING OUT HIS HANDS TO FETCH IT ALICE WE HAVE HAD SUCH A SKIRMISH AND CONSULT FOOLISH AN OCCASION AS I CANNOT TELL WHICH A STRANGER NEVERTHELESS AT ALL VENTURES THE RING THE BELLS AND CAPITUAL CAPITULATIES I'LL FRED WEST LAD IN COMING DOWN TO BREAKFAST AND HIS MANNERS SHOWED PLAINLY THAT SOMETHING WAS AMISS TO OFFER ASSISTANCE WOULD HAVE BEEN MADNESS FOR EVEN HARMON PERCEIVED BY THE LOUD CLANKING OF WEAPONS ROUND THEM THEY GREATLY SUPERIOR POWER OF THE ENEMY AND THEY WERE ACTING BY THE ORDERS OF THE KING TO THE PRESENT IN THE PLACE OF EXECUTION INTENSE VOICE EXCITEMENT POSSESS THE PLAYERS FOR THE GAME WAS A CLOSE ONE AND THE STATES WERE VERY HEAVY SEAT WAS LAST AFTER ALL BY A NARROW NIGHT CHARITY O IN EARNEST IF I WERE A PRINCE THAT LADY SHOULD BE MY MISTRESS BUT I CAN GIVE NO RULE TO ANY ONE ELSE AND PERHAPS THOSE THAT ARE IN NO DANGER OF LOSING A HEART TO HER MAY BE INFINITELY TAKEN WITH ONE I SHOULD NOT VALUE AT ALL OH SO SAYS JUSTINIAN WISE PROVIDENCE HAS ORDAINED IT THAT BY THE DIFFERENT HUMORS EVERYBODY MIGHT FIND SOMETHING TO PLEASE THEMSELVES WITH HIM WITHOUT ENVYING THEIR NEIGHBORS OH WHY IT WAS THAT INDESCRIBABLE SOMETHING WHICH WOMEN ARE QUICK TO SEE AND FEEL IN MEN WHO HAVE BEEN BLESSED WISE AND GOOD MOTHERSTE SHE SAID I RECOSED NOT FIT YOU WHEN YOUR CAPS PUT ON ALL SCHEROO I REMEMBER THAT CENTIA GRAFTON HAD ONCE BEEN IN LOVE WITH EACH OTHER THERE ARE MY ORDERS TO NIGHT AT A BOTHERVILLE BERNITSPEARE'S LOSS LABORS TO GURGH ON THE THIRD DAY SAID THE LAD WANTED TO SET OUT MISTER HOOKER BEGAN MOVING ABOUT UPSTAIRS THE FOREBOARDS GREEK AND STILL CHRIS COULD NOT LEAVE UNTIL THE PORTION FUMED AND GLOWED WHAT IS MY BROTHER SAYING ASKED HIS SISTER AGAIN THEY GIVE A GLANCE AT ONE ANOTHER AND NODDED THEIR HEADS AS MUCH AS TO SAY WOULD I TELL YOU THIS LIFE OF THE RABBIT AS DESCRIBED BY MISTER BEALE WAS THE TRANSFEROUS GLIMPSE OF FREEDOM LIKE TO BE A RABBIT WHY CALLEST THOU THY SERVE MY SHADOW AT THAT MOMENT NINE O'CLOCK STRUCK THOUGH ASH THE GRANDSON OF JEHO HAD ACHIEVED SUCCESSES IN CONFLICT WITH DAMASCUS A SHIP ITS CARGO IN ITS MAIN WILL BE IN YOUR HANDS O MY SORDURUS EXCLAIM IN THE WORDS OF THE PROPHET WHERE IS THE KING OF ARPE FORTUNATELY THE JOHN WAS NOT ONLY FAT BUT ZIMINED HER HAIL AS A LIGHT FOOTED GIRL TURNS IN A LOVELY DANCE THEY CONSTANT NECESSITY A MEETING THE DANGERS OF THE WILDERNESS AND THE DEFENDING OF FLAMES AND TRIST INTO MOSES CARE DEVOUT HIS COURAGE AND POWER OF LEGISM AND ACTION THE MORE PROPOSALS THE MORE CREDIT ASKED THE ARTFUL YOUNG MAN LAYING A TRIP INTO WHICH POLLY IMMEDIATELY FELL THAT WAS ONE COMFORT WITH ALL THE INFORM THAT A ONE THROUGH ANY FORMS YOU MUST HAVE MADE COUGHING THE ROOSE BELOW ROSE HILL ON THE GRAHAM RIVER GAD EXPLAINED THE COLONEL I DON'T BELIEVE ALL I HEAR NO NOT BY A BIG DEAL WELL MY WIFE SHALL BE THERE SAID THE SCHOOLMASTER YOU WILL TELL HER WHAT YOU WANT AND I SHALL SEE YOU ASK SHE CONTINUED AN HUGH KISSED THE OWNER'S HEAD AND SPAKE HIM FAIR TILL HE WENT AWAY BY THE CASTRA FETCHED THE ROUND AND RETURNED HIS SECRETLY CAME AND STOOD BEHIND THE FIREWORM FEARING TO GO BACK TO HIS MISTRESS WITHOUT TIDINGS ARE RIGHT SAID MISTER MILLWARDLY A GOVERNMENT OF IRELAND HAS ADMINISTRATION HAD BE EQUALLY PROPORTIVE OF HIS MASTER'S INTRUST AND THAT OF THE SUBJECTS COMMITTED TO HIS CARE A FEW IN CAUSE HAD TURNED PAINTERY THAN EVER MISSUS PETER HAD A FINAL INSPIRATION THIS BOOKS TOLD HIM THE TREASURES BEST HIDDEN UNDER HIS BOARDS AND AS OF COURSE THE HOUSE HAD A SECRET PENNA WHICH HAS HAD NOT A NEW YOU COULD NOT CHOOSE BUT LIKE HER BUT YET LET ME TELL YOU YOU HAVE SEEN WHAT THE WORST OF HER WAS I MARCH MARGARET BENT OVER AND SAID BESSY DON'T BE IMPATIENT WITH YOUR LIFE WHATEVER IT IS OR MAY HAVE BEEN MORE OFTEN EXCLAIMED THE NORMAN OH MY DEAR SAID MISTER HALE ALARMED I DON'T GO OFF ON THAT IDEA BUT THEN ARE MY BROTHERS IS THE HISTORY OF WHAT BEFELL ME IN MY SIXTH VOYAGE AND TO MORROW INSHALLAH AND THEN SUCH POWERFUL ASSETS PRODUCE INTENSE IRRITATION THIRST THERE IS SUCH WATER DOES NOT CLEANED PURSUADED HIS BUSINESS WHILE THE BARONET WHO HAD TURNED CELAH WOULD CARE ONE OF HIS LODGE DREW BREATH THE FULL RELIEF MURDERSHIP BOYS HE SAID AS IT THE WHOLE PARTY WERE AT ONCE IN THAT DIRECTION ALL THAT AGE OF TWO HEADS YOU KNOW AND MISTER LILLO WAKING FROM HIS FIRST SLEEP AND HIS STATEROOM NEAR BY THAT HUMAN I DIDN'T SAY IT BROKEN IT DID I RETURNED HE SAID WHERE HE HAD NO BUSINESS TASTES ALL LAY IN THE STRICTION HER IDEA BEING BY AND BY TO FOLLOW HER MOTHER'S PROFICIENT OF GENERALISM FOR WHICH SHE ALREADY SHOWED CONSIDERABLE APTITUDE YOU I HAD MY MIND ON THE CHILDREN ALL A TIME I WANTED TO GET THEM OUT TO ONE SIDE AND PUMP THEM A LITTLE AND FOUND OUT WHO I WAS
6070-86744-0014  TIS THE MATTER ASKED ALBERT OF FRANZ WHEN THEY HAD RETURNED TO THEIR OWN APARTMENTS YOU SEE MORE THAN COMMONLY THOUGHTFUL
6432-63723-0006  AS IN GENERALLY KNOWN WENT ON THE LAWYER THAT THE HOTEL KEEPER'S WIFE HAS LEFT HIM
3997-180297-0007  THAT REALLY THE ONLY REASON
4350-9170-0014  BETWEEN THE MEMBERS OF ONE STATE SUBJECT TO A SINGLE AUTHORITY THE STRIKE BETWEEN THE INDIVIDUAL SEEMED STILL LESS AND A LIFE OF THE STATE SEEMS EVEN MORE SECURE
5764-299665-0044  AS THIS EVENING FELL
2609-169640-0007  HE WAS GIMENTS OF THE SEAMAN TO REQUIRE A SECOND LOOK IN ORDER TO ASSERTAIN WAS TO BE DONE
2609-169640-0010  USHERN SAW BOTH PROMPTS GRUDDING UP WAS I SHOULD PERCEIVE THAT THEY HAD NOT APPROACHED MATERIALLY IN NEW YORK
6070-86744-0022  THOUGH HE WAS CONTRARY REPLIED FRANZ OF WHAT COUNTRIES THE COUNT WHAT IS HIS NATIVE THONG WHENCE DOES HE DEVO HIS IMMENSE FORTUNE AND WHAT WILL THOSE EVENTS OF HIS EARLY LIFE A LIFE IS MARVELLOUS AS A KNOWN THAT HATH TINTED HIS SUCCEEDING YEARS WITH SO DARK AND BLOOMY A MISANTHROPY
1998-29454-0025  A BIRD PASSED IN ITS FIGHT ON THE FRANCH OF THE CLOTHES AND CLOWN THEIR SWAYING
2414-128291-0024  THOU AVIABLE
7975-280085-0003  THAT THE AMANDING DISCOVERED US AND WE TOOK IMPROVEMENT
5484-24318-0015  BORROW YOU SHALL CONFESS TO ME WHO TREACHEROUSLY DIRECTED YOU TO THE STATELESS PADDLE
8461-281231-0035  POSSESS AND FRIEND IN HIS OWN ASSEMBLY THE COURAGE TO LOOK ROUND AND TO MARGIN TO WHOSE PRESENCE SHE HAD BEEN CONDUCTED
7902-96592-0032  OH I CAN'T PART WITH THAT HA HA LAUGHED MOORGINILY
5442-41169-0017  BUT ONE'S WORK IS THROWN IN FOR NOTHING
3538-163622-0006  WHEN HE HAD RUN AFTER THE FOURTH FOR A LONG TIME AND WAS HOT AND TIRED HE PASSED BY A CLEF IN THE ROCK WHERE AN OLD WOMAN WAS SITTING SPINNING WITH A DISTA AND SHE CALLED THE HILL
6432-63722-0012  I'M WORKING IN THE INTEREST OF THE YOUNG MAN
3080-5040-0019  SEE YOU CAN CHEAT WHEN YOU PLEASE AND WITH AUTHORITY BUT I DESERVE IT I CONFESS AND ALL I CAN SAY FOR MYSELF IS THAT MY FAULT PROCEEDED FROM A VERY GOOD PRINCIPLE IN ME
1998-29454-0046  WELL YOU KNOW ALL ABOUT HER PRESENTLY
533-131564-0005  WE ALL EVER READ OF A LIKING FOR HIM WITH BOTTOM OF OUR HEARTS THOUGH WE CAN TRACK HIM
8131-117016-0006  CHOP KEEPERS AND SOME OF THE LESS UNFORTUNATE PEOPLE THERE HAVE PROTESTED LOUD ENOUGH TO REACH CLEAR BACK TO EARTH
1998-29454-0032  I SEE THAT THEN A BOOK SAID DICKY CHARMED
5442-41168-0015  THAT AS A MATTERHOR EACH MAN'S OWN POSITION HE SAID SEVERELY
8188-269290-0042  AM I MY BROTHER'S KEEPER
8461-281231-0002  I SEE LAY UPON SPED RAT WITH PAIN AND MANTELAGE AND FELL WITH AFFAIR OF RAPIDLY APPROACHING DEATH HE HEARD A VOICE ADDRESS HIM
3997-180294-0010  WITH THEM THE BODY HAS WORN OUT THE SOUL THE SENSES HALF BURNED OFF THE HEART IS A PATIENT HAS FEELINGS
4350-9170-0010  DEED IT COULD NOT BE OTHERWISE
1688-142285-0062  THAT'S WHAT I BELIEVE YOUNG WOMAN
367-130732-0025  DISK OF CRAWFISH
3528-168669-0077  WHAT IS NOTHING IN THE PRESENCE OF THE COST
533-131562-0010  AND AS FOR THE HOUSE OF MATTERS MISSUS GRAVES MUST BE VERY PARTICULAR IN KEEPING HER ACCOUNTS WE MUST GO UP IN AN ENCHANT NEW PLAN
4852-28311-0011  BUT YOU AREN'T GOING AFTER ALL THIS TURNED TO IN HIM
5442-41169-0005  SHALL I GO ON YOUR EXCELLENCY FINE CHAMPAGNE
8131-117016-0034  WANT THE NAME OF EVERY MAN IN THE GANG YOU CAN REMEMBER HE TOLD THE MAN
3080-5032-0007  ES QUALITIES IF I HAVE ANY THAT ARE GOOD SERVED BUT FOR AGGRAVATIONS OF MY FAULT AND I WAS ALLOWED TO HAVE WIT AND UNDERSTANDING AND DISCRETION IN OTHER THINGS THAT IT MIGHT APPEAR I HAD NONE IN THIS
6070-86744-0024  MY DEAR FRANCE REPLIED ALBERT WHEN UPON RECEIPT OF MY LETTER YOU FOUND THE NECESSITY OF ASKING THE COUNT'S ASSISTANCE AND PROMPTLY WENT TO HIM SAYING MY FRIEND THOU BUT THE MORE SAF IS IN DANGER HELD ME TO DELIVER HIM
8461-281231-0015  YET FIRST LET ME SAY SAID DEBRACY WHAT DID IMPORT THEE TO NAME
6432-63723-0000  CALLED THE COLONEL AS HE SKILFULLY PLAYED THE LUCKLESS TROUT NOW STRUGGLING TO GET LOOSE FROM THE HOOK
1998-29454-0008  WHEN HE SAID EVER BEEN ASLEEP
3997-180297-0004  A DEAR PRUDENCE I ANSWERED NOT KNOW WHAT YOU ARE SAYING
6432-63722-0047  OTHER HYPOTHETICAL QUESTION COLONEL BUT I SHOULD SAY IT MIGHT BE A FIFTY FIFTY PROPOSITION
7975-280057-0007  ANNE STARTED BACK TO HARRISONVILLE IN A BOOK YOU BUT WAS WAILING ONE MOUSE HEALTH WAS BORN OF SUBURB OF KANSAS CITY AND BRUI MURDER PULLING OUT OF HIS BOOK INTO THE ROAD WITH THREE MORTAL BALLOONS
4852-28311-0020  AT THE FOOT OF A HILL HE REACHED THE HOUSE
4294-35475-0014  HE LIFTED THE SCISSORS AND WITH ONE STROKE TO STRIKE THE WEB AND GAVE THE FLIGHT TO READ HIM
7902-96592-0048  THE MANY FIT ON AS ALTACK AND REALLY BISCUIT TALK OF GIVING ME ROTUND
1998-29455-0028  LEST IF I EVER SEE SUCH A NIPPER HE SAID I WENT OVER AGAIN
1688-142285-0020  IN PROVIDENT AND SELF INDULGENT WERE HIS WORDS
6432-63722-0036  THAT'S RIGHT AGREED THE COLONEL AS HE CONTINUED TO MOVE HIS MAGNIFYING GLASS OVER THE SURFACE OF THE STILL TICKING WATCH
4852-28319-0021  TWO HOURS BEFORE ITS TIME THUNDER SNARLED IN THE SKY
8188-269288-0003  DID NO IDEA OF ALLOWING HERSELF TO BREAK DOWN
3005-163399-0013  BERTISOOM SHE MADE THE COLD CHILLS RECALL BECAUSE SHE SAYS
1998-15444-0024  FIVE A PART OF THIS ETHEREAL SOLUTION HAS PUT INTO A WATCH GLASS AND ALLOWED HER VAPORATE
8280-266249-0064  THERE ARE LIGHT JESUS
533-131564-0008  TELL ME SHOULD YOU WISH YOURSELVES TO BE LIKE MISTER HAMPINGDON OR EVEN LIKE YOURSELF
3005-163391-0018  I AM REPEATED IN A CHOIR ABOUT EVERYBODY AND EVERYTHING IN THAT BLESSING TOWN AND ALL ABOUT THE WILS AND ABOUT PETER'S BUSINESS WHICH WAS A CANNER AND ABOUT GEORGE'S WHICH WAS A CARPENTER AND ABOUT HARVEYS WHICH WAS A DISSENTERING MINISTER AND SO ON AND SO ON THEN HE SAYS
533-131564-0014  WHAT DID YOU MAKE OF ME AND THE CHILDREN TO BE SURE THAT WERE A HURT DEATH BETWEEN THEM
3538-163622-0002  HAST THOU WATCHED FAITHFULLY AND WELL BEHOLDER LONG SAID THE KING WHEN THE LAD CAME INTO HIS PRESENCE IN THE EVENING
8131-117029-0021  I I O DREAD THAT I'M GETTING OLD AS IF YOU TELL HIM
2414-128292-0010  I I O DREAD THAT I'M GETTING OLD AS IF YOU TELL HIM
8280-266249-0030  AMBLING YONDER
5764-299665-0065  YOU SEE VIRTUE OR OTHER AS ALMS
3005-163390-0018  WELL HENRY HE TAKES A NOTION HE WANTS TO GET UP SOME TROUBLE WITH THIS COUNTRY
3764-168671-0011  THE NONS HAD COMMITTED IT NOT ONLY WITHOUT DIFFICULTY WAS EVEN WITH THE APPLAUSE OF THEIR OWN CONSCIENCES
8188-274364-0002  HATE OF LORD MONTORS OF ALL THOSE WHICH RECOLLECTED WITH SOAK INDUSTRY IS A MOST FLAT ONE AND THE LEAST EXCUSABLE
1998-15444-0020  THE WEATHER DO MAY BE SAID ASIDE FOR THE DETECTION OF THE METAIC POISONS OF SUSPECTED EXPEL THE ACHAR OF A CAREFUL EVORATION
3997-180297-0014  SHE CONTINUED WE POOR CREATURES OF CHANCE HAVE FANTASTIC DESIRE LOVE
3080-5040-0020  DARE NOT THAT OUR TONGUES LIE MORE ON ONE SIDE OF OUR MOSS THAN THE OTHER FOR FEAR OF OVERTURNING IT
3997-180297-0013  MARVELLOUS CREATURE LONGING TO LET ME TAKE MY PLACE IN OUR THOUGHTS PART IN HER LIFE AND THAT I WAS NOT YET CONTENT SHE GAVE ME LIMITS WHEN SATISFIED AS PROMPTLY AS I HAD BEEN
2414-159411-0002  O FATHER ANSWERED
3538-142836-0002  HOPE GATHERED A WEDDLE FOLLY WEATHER OR SO BE MILDING AND WE HAVE NO SERVICE FOR PRESERVES
3764-168671-0002  A MORNING COACH IN WHICH COULD BE SEEN A PRIEST IN HIS SURPLICE AND A CHOIR BOY IN HIS RED CAP FOLLOWED
2414-128292-0023  A MORNING COACH IN WHICH COULD BE SEEN A PRIEST IN HIS SURPLICE AND A CHOIR BOY IN HIS RED CAP FOLLOWED
3764-168671-0023  WHY DINNER YES
1998-29454-0033  THE WAKE THE LOSS OF THE EARS AND AWARE WHAT SO FOR
1998-15444-0004 GOTTEN THE COLLEGE BEING CUT ACROSS BETWEEN THESE LITERATURES THE STOMACH MAY BE REMOVED ENTIRE WITHOUT SPINNING HIS CONTENTS
5764-299665-0026  ADVANCES ARE NECESSARILY ADVANCES BEATENS
1998-15444-0012  THE TUBE SHOULD BE EXAMINED TO SEE THAT IT HAS NOT BROKEN OR CRACKED AS ACCIDENTS HAVE HAPPENED FROM NEGLECTING THIS PRECAUTION
3538-163619-0006  LAST THERE CAME IN SIGHT OF LAND
8461-278226-0004  AND THEN ALL THE RIBBON SAYS THAT I SAW THEM FOR YEARS AGO WHEN I WAS STAYING IN PARIS WITH GRANDPAPA
4350-9170-0026 IGNING OF THE PREVIOUS SPEECH PUT INTO PLAIN LANGUAGE IS THAT FUNDS ARE NEEDED NOT TO RESIST FOREIGN FOES BUT TO BUY UNDER OFFICERS TO BE READY TO ACT AGAINST THE SLAVE TOILED MASSES
7902-96592-0026  GONE TO GIVE THE ALARM ABOUT THE PRISONER HE LOOKED EXCITEDLY ROUND FOR A WAVESCAPE
6128-63241-0005  ALL THE CRUELS AND DEFEATS
7975-280076-0022  DOCTOR ILLUS WAS HIS PHYSICIAN
5764-299665-0047  WHO REGION DONE FOR HUNGRY OPIUM
1688-142285-0035  IS IT TOO REGISTER OFFICES SEEING ALL MANNER OF UNLIKELY PEOPLE AND VERY FEW IN THE LEAST LIKELY ABSORBED MARGARET'S TIME AND THOUGHTS FOR SEVERAL DAYS
3538-142836-0013  IN THIS WAY IT IS ALSO THAT ORANGE AND LEMON SHIPS ARE PRESERVED
2033-164915-0011  AS I FEAR THE CARMENIALS DISCERNING BUT UNTO ALLOW WE ARE ALL RETURNING
3528-168656-0008  A MUNICH CHAPLET SOME AUTHENTIC RELIC
6128-63244-0014  ALEC AFTER THE DETAILS AS WELL AS THE BIG KARENS MISSUS FRENDER ADDED IN A TIME AS EXPERIMENTARY AS COULD BE EXPECTED OF SUCH OVER ME AND WITH A SMILE OF WHICH THE SWEETNESS WAS THROWING TO HER LISTENER
3080-5040-0031  TO KNOW WHEN YOU HAD COME HOME I CAN ASSURE YOU NOR FOR ANY OTHER KITCH OF MY OWN BUT WITH A COUSIN OF MINE AND HAD LONG DESIGN TO MAKE HERSELF SPORT WITH HIM AND DID NOT MISS OF HER AIM
8188-269290-0027  FUSES TO COME SHE CRIED
3331-159605-0018  TAKE HOLD OF MASSA CHARLIE'S HAND MISS MAMIE AND WALK PRETTY LIKE BILLI AND FLOSSY SAID THE MAID
7975-280057-0009  WAS WELL STAYED TO GUARD THE REMAINS WHETHER SON CARRIED THE NEWS OF THE MURDER TO COLONEL PEEBODY OF THE FERTILE COMMAND WHO WAS THEN IN CAMP WITH THE AMER CITY
367-293981-0002  I SAY REPLIED SANCHO THAT I SWEAR TO HOLD MY TONGUE ABOUT IT TILL THE END OF YOUR WORSHIP STAYS AND GONE GRANT I MAY BE ABLE TO LET IT OUT TO MORROW
6070-86745-0004  VERY WELL HALF PAST TEN
3080-5040-0002  HAS TOLD NOW ALL THAT WAS TOLD HER BUT VOWS YOU WILL NEVER SEE FOR WHENCE SHE HAD IT WE SHALL SEE WHETHER HER RESOLUTIONS ARE UNANSWERABLE AS THOSE OF MY LADY TALMISH
5484-24317-0019  LET US HOPE THAT YOU WILL MAKE THIS THREE LEAVED CLOVER THE LUCK PROMISING FOOL LEAVE TO ONE
7975-280076-0017  OUR BUSINESS THERE WAS TO SEE EEPY WORST HE WAS NOT AT HOME BUT THE FAMILY WILL REMEMBER THAT WE WERE THERE
4294-9934-0028  MARIA SENT BACK THE THIRTY LOUIS TO HIS AUNT WITH THE RESPECTFUL LETTER IN WHICH HE STATED THAT HE HAD SUFFICIENT MEANS OF SUBSISTENCE AND THAT HE SHOULD BE ABLE THENCEFORTH THE SUPPLY ALL HIS NEEDS
3764-168671-0008  TO BE BURIED IN PARACHETS IS EQUIVALENT TO HAVING FURNITURE OF MOHAWGY IT IS RECOGNIZED AS ELECT
5764-299665-0093  THIS CANNOT BE DONE BY TALK OR EXAMPLE
2414-128292-0008  THIS CANNOT BE DONE BY TALK OR EXAMPLE
5764-299665-0061  DEGENIS NEVER MADE MEN FREE
2033-164914-0010  DE LA AND THOU FAT YOU NOT TO BE I WILL ASSURED ROUSE THE CHAMBERLAIN OF THEE AND CAST THE YARD
2414-128291-0019  DE LA AND THOU FAT YOU NOT TO BE I WILL ASSURED ROUSE THE CHAMBERLAIN OF THEE AND CAST THE YARD
8280-266249-0062  ARE WE NOT SISTERS IN CHRIST
4852-28330-0006  CHLOSS NO TIME AS SOON AS HE COULD DO IT WITHOUT BEING NOTICED AND HURRYING DOWN IN HIS CABIN
8461-281231-0032  BEFORE REACHING HIS DESTINATION HE WAS STOLE THAT LUCAS THE BOURNOIS THE GRANT OF THE ORDER OF THE TEN PLAS WAS SAFETY
3997-180297-0017  STAND FIRST IN THYSELF ESTEE LAST INTEREST THEME
2414-128291-0022  STAND FIRST IN THYSELF ESTEE LAST INTEREST THEME
3528-168656-0007  AS IT FURNISHED A SUBJECT OF COMMIT FOR ALL THOSE WHO WERE UNOCCUPIED OR BORN IN THE CONVENT
7018-75788-0019  THERE IS MAJESTY AND THERE IS NO MIGHT SAVE IN ALLAH THE GLORIOUS THE GREAT
2414-159411-0033  THERE IS MAJESTY AND THERE IS NO MIGHT SAVE IN ALLAH THE GLORIOUS THE GREAT
3538-142836-0003  BUT HE DISTORS HIS PROBABULAR QUARREGULATE ATTENTION UNCONSIDERABLE EXPERIENCE
6938-70848-0010  THIS MAN HAS SPECIALLY WELCOMED A CALL TO A COLORS OF PEASANTS
7975-280085-0016  CHIP LISBAND OF WHAT ONE COUNTING WHO WAS TAKING BOB PRISON FROM HIM WAS ALSO SHOWING TO THE FOE
1998-29454-0043  I KNOW YOU WILL SAID THE KING WAS ENTHUSIASM I KNOW HOW GOOD YOU ARE
6128-63244-0005  SUSANCY OF PEOPLE IF THERE AND SENT FOR THE INTERWOMAN AS MISSUS STARRY COULD HAVE THE TOXBURY OUGHT NOT TO MAKE THINGS UP
8131-117017-0014  GORDON AND JENKINS CAME BACK MURDOCK TOSSED THE MONEY TO THEM SPLIT IT
1998-15444-0016  FOR THE SEPARATION OF MACALIT THE FOLLOWING AS THE PROCESS OF STARS OTTO
1688-142285-0007  I REALLY WAS VERY MUCH AFRAID OF SHOWING HIM HOW MUCH SHOCKED I WAS AT SOME PARTS OF WHAT HE SAID
